topic,grammar_type,english,french,example
"Travel & City","noun","market","le marché","Je vais au marché le samedi matin."
"Travel & City","noun","museum","le musée","Le musée ouvre à neuf heures."
"Time","adverb","today","aujourd'hui","Aujourd'hui il fait très beau."
"Time","adverb","tomorrow","demain","Je travaille demain toute la journée."
"Time","adverb","yesterday","hier","Hier j'ai mangé au restaurant."
"Time","adverb","now","maintenant","Je suis occupé maintenant."
"Time","adverb","soon","bientôt","À bientôt!"
"Time","adverb","always / still","toujours","Il est toujours en retard."
"Time","adverb","often","souvent","Je mange souvent ici le midi."
"Time","adverb","sometimes","parfois","Parfois je prends le bus au lieu du vélo."
"Time","adverb","never","jamais","Je ne mange jamais de viande."
"Time","noun","morning","le matin","Je fais du sport le matin."
"Time","noun","afternoon","l'après-midi","Je me repose l'après-midi."
"Time","noun","evening","le soir","Nous dînons ensemble le soir."
"Time","noun","night","la nuit","La nuit il fait très froid en hiver."
"Time","noun","week","la semaine","La semaine prochaine je pars en vacances."
"Time","noun","month","le mois","Ce mois-ci je suis très occupé."
"Work & Study","noun","work","le travail","J'aime vraiment mon travail."
"Work & Study","noun","office / desk","le bureau","Mon bureau est au deuxième étage."
"Work & Study","noun","school","l'école","Les enfants vont à l'école à pied."
"Work & Study","noun","university","l'université","Elle étudie le droit à l'université."
"Work & Study","noun","class / lesson","le cours","Le cours commence dans dix minutes."
"Work & Study","noun","lesson","la leçon","C'est une leçon très difficile."
"Work & Study","noun","homework / duty","le devoir","J'ai beaucoup de devoirs ce soir."
"Work & Study","noun","book","le livre","J'ai lu ce livre deux fois."
"Work & Study","noun","notebook","le cahier","Écris tes réponses dans le cahier."
"Work & Study","noun","pen","le stylo","Tu as un stylo que je peux emprunter?"
"Work & Study","noun","question","la question","Tu as des questions sur le cours?"
"Work & Study","noun","answer","la réponse","La réponse correcte est la troisième."
"Work & Study","verb","to understand","comprendre","Je ne comprends pas cette règle."
"Work & Study","verb","to learn","apprendre","J'apprends le français depuis six mois."
"Work & Study","verb","to write","écrire","J'écris une lettre à mes parents."
"Work & Study","verb","to read","lire","Je lis un livre intéressant en ce moment."
"Health & Body","noun","head","la tête","J'ai mal à la tête depuis ce matin."
"Health & Body","noun","hand","la main","Lève la main si tu sais la réponse."
"Health & Body","noun","foot","le pied","J'ai mal au pied après la course."
"Health & Body","noun","eyes","les yeux","Elle a de beaux yeux bleus."
"Health & Body","noun","mouth","la bouche","Ouvre la bouche s'il vous plaît."
"Health & Body","noun","nose","le nez","Il a le nez qui coule."
"Health & Body","noun","ear","l'oreille","J'ai mal à l'oreille depuis hier."
"Health & Body","noun","doctor","le médecin","Je dois voir le médecin aujourd'hui."
"Health & Body","noun","pharmacy","la pharmacie","La pharmacie est ouverte jusqu'à vingt heures."
"Health & Body","noun","health","la santé","La santé est la chose la plus importante."
"Health & Body","adjective","tired","fatigué","Je suis très fatigué ce soir."
"Health & Body","adjective","sick","malade","Elle est malade depuis lundi."
"Health & Body","phrase","to hurt / have pain","avoir mal","J'ai mal au ventre depuis ce matin."
"Weather & Nature","noun","weather / time","le temps","Quel temps fait-il aujourd'hui?"
"Weather & Nature","noun","sun","le soleil","Le soleil brille toute la journée."
"Weather & Nature","noun","rain","la pluie","Il y a de la pluie aujourd'hui."
"Weather & Nature","noun","wind","le vent","Il y a beaucoup de vent en automne."
"Weather & Nature","noun","snow","la neige","La neige est tombée cette nuit."
"Weather & Nature","adjective","hot / warm","chaud","Il fait très chaud en été."
"Weather & Nature","adjective","cold","froid","Il fait très froid en hiver."
"Weather & Nature","adjective","beautiful / nice","beau","Il fait beau aujourd'hui enfin!"
"Weather & Nature","noun","sea","la mer","Nous allons à la mer en été."
"Weather & Nature","noun","mountain","la montagne","J'adore faire du ski à la montagne."
"Weather & Nature","noun","forest","la forêt","La forêt est magnifique en automne."
"Weather & Nature","noun","flower","la fleur","Elle aime les fleurs du jardin."
"Weather & Nature","noun","tree","l'arbre","L'arbre devant la maison est très grand."
"Adjectives","adjective","big / tall","grand","Cette maison est vraiment très grande."
"Adjectives","adjective","small / short","petit","Mon appartement est petit mais confortable."
"Adjectives","adjective","good","bon","Ce repas est vraiment très bon."
"Adjectives","adjective","new","nouveau","J'ai un nouveau téléphone depuis hier."
"Adjectives","adjective","old","vieux","Cette église est très vieille."
"Adjectives","adjective","young","jeune","Elle est jeune et très dynamique."
"Adjectives","adjective","easy","facile","Ce n'est pas aussi facile que je croyais."
"Adjectives","adjective","difficult","difficile","Ce problème est vraiment difficile."
"Adjectives","adjective","important","important","C'est très important pour moi."
"Adjectives","adjective","expensive / dear","cher","Ce restaurant est trop cher."
"Adjectives","adjective","free","gratuit","L'entrée au musée est gratuite."
"Adjectives","adjective","pretty","joli","Tu as une très jolie robe."
"Adjectives","adjective","happy","content","Je suis content de te voir enfin."
"Adjectives","adjective","sad","triste","Il est triste depuis plusieurs jours."
"Adjectives","adjective","fast","rapide","Le train est rapide et confortable."
"Adjectives","adjective","slow","lent","La connexion internet est très lente."
"Connectors","conjunction","and","et","J'aime le café et le thé."
"Connectors","conjunction","but","mais","Je veux venir mais je suis trop occupé."
"Connectors","conjunction","or","ou","Tu veux du café ou du thé?"
"Connectors","conjunction","because","parce que","Je suis fatigué parce que j'ai peu dormi."
"Connectors","conjunction","when","quand","Appelle-moi quand tu arrives à la gare."
"Connectors","conjunction","if","si","Si tu veux on peut partir maintenant."
"Connectors","conjunction","so / therefore","donc","J'ai faim donc je mange quelque chose."
"Connectors","preposition","with","avec","Je viens avec toi bien sûr."
"Connectors","preposition","without","sans","Je ne peux pas vivre sans café."
"Connectors","preposition","for / to","pour","Ce cadeau est pour toi."
"Connectors","preposition","in","dans","Le chat est dans la boîte."
"Connectors","preposition","on","sur","Le livre est sur la table."
"Connectors","preposition","under","sous","Le chat est sous la chaise."
"Connectors","preposition","between","entre","La banque est entre la poste et le musée."
"Connectors","preposition","at someone's place","chez","Je suis chez moi ce soir."
"Connectors","preposition","with","avec","Je vais au cinéma avec mes amis."
"Connectors","preposition","before","avant","Je prends un café avant le travail."
"Connectors","preposition","after","après","Nous mangeons après la réunion."
"Connectors","preposition","during","pendant","Je dors pendant le voyage."
"Connectors","preposition","since / for","depuis","J’habite ici depuis deux ans."
"Connectors","preposition","until","jusqu’à","Je travaille jusqu’à six heures."
"Connectors","preposition","near","près de","La pharmacie est près de la gare."
"Connectors","preposition","far from","loin de","Mon bureau est loin de chez moi."
"Connectors","preposition","next to","à côté de","La boulangerie est à côté de l’école."
"Connectors","preposition","in front of","devant","La voiture est devant la maison."
"Connectors","preposition","behind","derrière","Le jardin est derrière la maison."
"Connectors","preposition","above","au-dessus de","La lampe est au-dessus de la table."
"Connectors","preposition","below","au-dessous de","Le parking est au-dessous du bâtiment."
"Connectors","preposition","opposite / across from","en face de","La banque est en face du restaurant."
"Connectors","preposition","around","autour de","Il y a des arbres autour de la maison."
"Connectors","preposition","towards","vers","Je marche vers la station de métro."
"Connectors","preposition","from","de","Je viens de France."
"Connectors","preposition","to / at / in","à","Je vais à Paris."
"Connectors","preposition","by / through","par","Je passe par le parc."
"Connectors","preposition","against","contre","Le vélo est contre le mur."
"Connectors","preposition","among","parmi","Elle est populaire parmi les étudiants."
"Connectors","preposition","according to","selon","Selon moi, c’est une bonne idée."
"Connectors","preposition","despite","malgré","Il sort malgré la pluie."
"Connectors","preposition","because of","à cause de","Je suis en retard à cause du trafic."
"Connectors","preposition","thanks to","grâce à","J’ai réussi grâce à ton aide."
"Connectors","preposition","instead of","au lieu de","Je prends du thé au lieu du café."
"Connectors","preposition","about","à propos de","Nous parlons à propos du projet."
"Connectors","preposition","regarding","concernant","Concernant la réunion, je suis disponible."
"Connectors","preposition","except","sauf","Tout le monde est là sauf Paul."
"Connectors","preposition","outside","hors de","Le chien est hors de la maison."
"Connectors","preposition","inside","à l’intérieur de","Les clés sont à l’intérieur du sac."
"Connectors","preposition","outside of","à l’extérieur de","Les enfants jouent à l’extérieur de l’école."
"Connectors","preposition","along","le long de","Nous marchons le long de la rivière."
"Connectors","preposition","at the end of","au bout de","La boutique est au bout de la rue."
"Connectors","preposition","in the middle of","au milieu de","Il y a une table au milieu de la pièce."
"Shopping & Money","noun","money","l'argent","Je n'ai pas assez d'argent aujourd'hui."
"Shopping & Money","noun","price","le prix","Quel est le prix de ce manteau?"
"Shopping & Money","noun","bank card","la carte bancaire","Je paie avec ma carte bancaire."
"Shopping & Money","noun","bag","le sac","J'ai oublié mon sac au bureau."
"Shopping & Money","noun","size","la taille","Quelle est votre taille?"
"Shopping & Money","noun","color","la couleur","Quelle couleur préférez-vous?"
"Shopping & Money","verb","to try","essayer","Je peux essayer ce manteau?"
"Shopping & Money","verb","to cost","coûter","Combien ça coûte?"
"Emotions & Opinions","adjective","happy","heureux","Je suis très heureux de te voir."
"Emotions & Opinions","adjective","worried","inquiet","Je suis inquiet pour mon ami."
"Emotions & Opinions","adjective","calm","calme","Reste calme s'il te plaît."
"Emotions & Opinions","adjective","annoyed","énervé","Il est énervé parce qu'il est en retard."
"Emotions & Opinions","verb","to think","penser","Je pense que c'est une bonne idée."
"Emotions & Opinions","verb","to believe","croire","Je crois que tu as raison."
"Emotions & Opinions","verb","to hope","espérer","J'espère que tu vas bien."
"Technology","noun","phone","le téléphone","Mon téléphone est mort et je cherche un chargeur."
"Technology","noun","computer","l'ordinateur","J'utilise l'ordinateur pour travailler."
"Technology","noun","screen","l'écran","L'écran de mon téléphone est cassé."
"Technology","noun","message","le message","J'ai reçu un message important."
"Technology","noun","email","l'e-mail","Envoie-moi un e-mail avec les détails."
"Technology","noun","internet","internet","Je n'ai pas internet ici."
"Technology","noun","password","le mot de passe","J'ai oublié mon mot de passe."
"Technology","verb","to download","télécharger","Je télécharge l'application maintenant."
"Common Phrases","phrase","hello / good morning","bonjour","Bonjour comment allez-vous aujourd'hui?"
"Common Phrases","phrase","good evening","bonsoir","Bonsoir et bienvenue!"
"Common Phrases","phrase","thank you","merci","Merci beaucoup pour votre aide."
"Common Phrases","phrase","please","s'il vous plaît","Un café s'il vous plaît."
"Common Phrases","phrase","sorry / excuse me","pardon","Pardon où est la gare s'il vous plaît?"
"Common Phrases","phrase","okay / agreed","d'accord","D'accord on se retrouve à midi."
"Common Phrases","phrase","of course","bien sûr","Bien sûr avec grand plaisir!"
"Common Phrases","phrase","see you soon","à bientôt","À bientôt et prenez soin de vous."
"Common Phrases","phrase","goodbye","au revoir","Au revoir et bonne journée!"
"Business Terminology","noun","artificial intelligence","l'intelligence artificielle","L'intelligence artificielle aide les entreprises."
"Business Terminology","noun","machine learning","l'apprentissage automatique","L'apprentissage automatique améliore les modèles."
"Business Terminology","noun","data","les données","Les données sont très importantes."
"Business Terminology","noun","database","la base de données","La base de données est sécurisée."
"Business Terminology","noun","algorithm","l'algorithme","L'algorithme analyse les données."
"Business Terminology","noun","software","le logiciel","Le logiciel fonctionne bien."
"Business Terminology","noun","application","l'application","Nous développons une application."
"Business Terminology","noun","user interface","l'interface utilisateur","L'interface utilisateur est simple."
"Business Terminology","noun","user experience","l'expérience utilisateur","L'expérience utilisateur est importante."
"Business Terminology","noun","cybersecurity","la cybersécurité","La cybersécurité protège les données."
"Business Terminology","noun","automation","l'automatisation","L'automatisation fait gagner du temps."
"Business Terminology","noun","digital transformation","la transformation numérique","L'entreprise commence une transformation numérique."
"Business Terminology","noun","cloud computing","le cloud computing","L'application fonctionne avec le cloud computing."
"Business Terminology","noun","API","l'API","L'application utilise une API."
"Business Terminology","noun","AI model","le modèle d'IA","Le modèle d'IA donne une réponse."
"Business Terminology","noun","chatbot","le chatbot","Le chatbot répond aux questions."
"Business Terminology","noun","prompt","le prompt","Le prompt doit être clair."
"Business Terminology","noun","platform","la plateforme","La plateforme est facile à utiliser."
"Business Terminology","noun","server","le serveur","Le serveur est rapide."
"Business Terminology","noun","security","la sécurité","La sécurité est une priorité."
"Business Terminology","verb","to deploy","déployer","Nous allons déployer l'application."
"Business Terminology","verb","to automate","automatiser","Nous voulons automatiser cette tâche."
"Business Terminology","verb","to analyze","analyser","Nous analysons les résultats."
"Business Terminology","verb","to optimize","optimiser","L'équipe optimise le système."
"Business Terminology","verb","to integrate","intégrer","Nous devons intégrer cette API."
